TURMA,ETAPA,TURNO,PROFESSOR
F1M901,1º ANO,MANHÃ,
F1M902,1º ANO,MANHÃ,
F1M903,1º ANO,MANHÃ,
F1M904,1º ANO,MANHÃ,
F1T901,1º ANO,TARDE,
F1T902,1º ANO,TARDE,
F1T903,1º ANO,TARDE,
F1T904,1º ANO,TARDE,
F1T905,1º ANO,TARDE,
F2M901,2° ANO,MANHÃ,
F2M902,2° ANO,MANHÃ,
F2M903,2° ANO,MANHÃ,
F2M904,2° ANO,MANHÃ,
F2T901,2° ANO,TARDE,
F2T902,2° ANO,TARDE,
F2T903,2° ANO,TARDE,
F2T904,2° ANO,TARDE,
F2T905,2° ANO,TARDE,
F3M901,3° ANO,MANHÃ,
F3M902,3° ANO,MANHÃ,
F3M903,3° ANO,MANHÃ,
F3M904,3° ANO,MANHÃ,
F3M905,3° ANO,MANHÃ,
F3T901,3° ANO,TARDE,
F3T902,3° ANO,TARDE,
F3T903,3° ANO,TARDE,
F3T904,3° ANO,TARDE,
F3T905,3° ANO,TARDE,
F4M901,4° ANO,MANHA,
F4M902,4° ANO,MANHA,
F4M903,4° ANO,MANHA,
F4M904,4° ANO,MANHA,
F4T901,4° ANO,TARDE,
F4T902,4° ANO,TARDE,
F4T903,4° ANO,TARDE,
F5M901,5° ANO,MANHA,
F5T901,5° ANO,TARDE,
